source,score,level
ABI1,-0.18267955087386242,6
ACLY,1.4437955517126362,4
ACO1,2.031441240969731,2
ACP1,-0.31493278020388527,6
ADAM10,-0.5227369947347241,6
ADAM17,-0.5227369947347241,6
ADORA2B,-0.34605632089456856,6
AHCYL1,-0.23561869117549156,2
AIMP1,0.607512753750632,6
AKR1B1,-0.02791603482037224,2
ANAPC1,1.1794651708177784,5
ANAPC10,1.377619034785381,6
ANAPC4,1.377619034785381,6
ANAPC5,1.377619034785381,6
ANAPC7,1.377619034785381,6
ANKRD28,-1.777508140207893,5
APC,-0.8384870645645321,5
APEX1,0.601838573585464,4
APP,-0.679062636786283,5
ARAF,0.1027271410313757,4
ARHGAP32,-0.48155668555698666,5
ARHGEF7,-1.1953352028465458,5
ASF1A,1.1794651708177784,5
ATAD5,1.3035403813070379,6
ATF2,-0.09839411949274747,6
ATR,-1.7039124163658268,3
AURKA,-2.4105772766296614,5
AURKB,-2.490348034712673,4
BCL10,-0.25083897222433676,6
BECN1,1.6870007935102906,5
BIRC2,0.4100456123278409,5
BIRC5,0.4100456123278409,5
BLM,2.490348034712673,4
BORA,-2.3232179697442747,6
BRAF,-0.22973512489938713,5
BRCA1,-2.490348034712673,4
BRD4,1.107904760717528,5
BSG,0.18086455882185382,2
BUB1,-1.1980053865143896,6
BUB1B,-1.1980053865143896,6
CAMK2D,1.1794651708177784,5
CAMK2G,1.1794651708177784,5
CAMKK2,1.1794651708177784,5
CAPN2,0.708933634094562,5
CASP2,-1.3712598788372106,6
CASP3,-0.20399035314895556,4
CASP6,1.1794651708177784,5
CASP7,-1.1794651708177784,5
CASP8,-1.0405269919116984,5
CAST,-0.8927546642811213,6
CAV1,-0.13176077459399035,3
CBL,-0.34540056838589706,5
CBS,1.4236935714689276,2
CCNA2,0.0675682712393212,4
CCND1,-0.7756554332053819,6
CCNE2,-0.9592110660127156,6
CCP110,-0.6042614813959898,6
CDC16,1.377619034785381,6
CDC20,1.005736049899981,5
CDC23,1.377619034785381,6
CDC25A,0.3713120427334223,5
CDC27,1.8365449859937166,6
CDC42,-0.9297431775381412,4
CDC7,0.7022007767229032,4
CDK1,-2.0369261115415482,3
CDK2,1.1261416314783745,4
CDK4,0,5
CDK6,-1.0492240564719202,6
CDK9,2.490348034712673,4
CDKN1B,0.7736978470162347,5
CDKN2C,-0.16893116924587034,6
CDKN2D,0.16893116924587034,6
CEBPB,0.14812069344093393,5
CFLAR,1.2784596789789089,6
CHEK1,2.490348034712673,4
CHEK2,2.490348034712673,4
CHUK,-0.41233278051347927,5
CLASP2,-0.22973512489938713,5
COPS6,-0.4100456123278409,5
CREBBP,1.2906836448811585,4
CRK,0.8341084081580628,5
CSNK2A1,-0.08505376567663207,3
CSNK2B,2.490348034712673,4
CTBP1,-1.1794651708177784,5
CTNNA1,-0.24476208830939733,6
CTNNB1,-0.3328357085760533,5
CTNND1,-0.8384870645645321,5
CTPS1,0.4504094778245717,2
CUL1,-0.3713120427334223,5
DAG1,-1.3282584354102362,4
DDB1,-1.1794651708177784,5
DDB2,-0.4293512347042325,6
DDX5,2.490348034712673,4
DHFR,-1.337195956069699,4
DIABLO,-1.025269152753916,6
DLG1,-0.4063661007085259,5
DNAJB1,1.2894101164056406,5
DNAJC3,-1.6025041511239928,5
DPYSL2,-0.26903809153230906,6
DUSP1,0.1027271410313757,4
E2F4,1.9149344606828045,4
ECT2,-1.1953352028465458,5
EIF2A,-0.30768501362548983,6
EIF2AK2,3.191773103594351,4
EIF2S2,-1.0351083149591278,6
EIF3I,0.3137568839023208,6
EIF4G2,0.8335626189430614,6
ELAVL1,2.490348034712673,4
EP300,2.490348034712673,4
EPHA2,-0.7589153183349312,5
EPOR,-0.7589153183349312,5
EPS15,-0.8384870645645321,5
ERCC3,-1.6544333946106755,6
FANCC,-0.28992038750710025,5
FASN,0.12149177143043063,6
FBXO5,-1.1980053865143896,6
FBXW7,-0.11885992086064229,5
FEN1,0.0633046361719698,5
FH,0.42637512803466177,2
FHL1,0.06492768076834989,6
FOXM1,-1.777508140207893,5
FOXO3,0.8368250042085459,5
FYN,-1.5349017822271622,4
G3BP1,1.6025041511239928,5
G3BP2,1.8187002820130003,6
GABARAPL2,-0.9052713587018428,6
GADD45A,1.9149344606828045,4
GAPDH,1.6483347634935515,4
Gene1026__MTR,-2.1043465223259825,1
Gene1164__orphanReacPAIL_HStn,0.049716354266417746,5
Gene1189__PHGDH,1.3921411576670266,3
Gene119800002__SLC38A2,-1.133947564501558,1
Gene125000002__SLC38A2,1.1543584015365795,1
Gene1338__AKR1B1,-0.6454852227219622,1
Gene1397__SDHA_SDHD_SDHC_SDHB,-0.1570389355628356,1
Gene1397__SDHA_SDHD_SDHC_SDHB_reverse,0.25068841443691003,1
Gene156__AKR1B1,0.013642893484536057,1
Gene1561__AKR1B1,-0.22215388171273462,1
