Nodes,score,level,type,RNA_input
AKR1B1,1.9562755420378504,2,other,1.5780904645345233
ATF1,1.7479476238103537,5,upstream_input,-1.3540361708678985
Enzyme1338__AKR1B1,3.163857529839644,1,other,NA
JUN,2.2885503596224037,4,upstream_input,0.8847499631187621
Metab__D-Glucitol_c,3.0045805611718186,0,level0,NA
NFAT5,2.2206721204798754,3,other,-0.5031258522269165
SMAD3,1.052331864259307,5,upstream_input,0.6507628210458086
